grt,batch_index
641.640140,524
731.292674,525
679.390941,526
665.713366,527
700.796798,528
697.659394,529
697.526731,530
726.778655,531
639.849441,532
701.957597,533
661.119804,534
639.130809,535
692.961883,536
802.583501,537
662.804590,538
688.566292,539
652.342811,540
701.867280,541
660.194800,542
663.820558,543
719.236303,544
727.169010,545
640.939395,546
646.388539,547
677.015915,548
709.025023,549
731.345926,550
625.556618,551
731.069033,552
673.550806,553
603.781022,554
639.196929,555
677.930084,556
669.003980,557
664.733241,558
743.694350,559
680.416977,560
691.516044,561
627.000957,562
633.907694,563
682.714761,564
648.353699,565
683.717262,566
632.709937,567
657.242403,568
656.402007,569
673.895714,570
688.058632,571
631.435174,572
657.003594,573
683.105896,574
660.717829,575
686.685807,576
704.441299,577
666.690320,578
633.565293,579
695.016498,580
619.211661,581
639.057139,582
629.998691,583
670.242389,584
704.785013,585
682.121903,586
671.127792,587
681.341111,588
746.910872,589
732.891480,590
658.681915,591
679.707405,592
686.726166,593
751.610606,594
658.039316,595
678.815399,596
632.203532,597
684.939872,598
680.729212,599
677.755042,600
616.270452,601
648.658428,602
662.831293,603
712.004042,604
658.486618,605
655.706045,606
729.947731,607
696.796273,608
656.715070,609
668.081656,610
666.475207,611
654.519506,612
692.921339,613
660.631763,614
716.755918,615
659.109660,616
737.398419,617
713.448504,618
686.417743,619
685.874557,620
684.812416,621
602.828106,622
677.576228,623
674.206174,624
713.637628,625
706.686209,626
679.384458,627
674.621838,628
772.678556,629
653.966762,630
678.286779,631
668.353804,632
713.864474,633
651.200375,634
677.239725,635
688.871412,636
657.222733,637
638.268305,638
664.446080,639
648.038951,640
605.481771,641
631.587321,642
702.516367,643
683.654484,644
613.308060,645
656.686735,646
667.189461,647
693.883346,648
666.984111,649
665.569147,650
625.164552,651
684.150762,652
667.192400,653
691.559852,654
657.175608,655
673.125628,656
659.970379,657
679.540017,658
695.753579,659
633.537229,660
657.789171,661
644.764932,662
666.327864,663
699.201532,664
657.316529,665
665.227888,666
764.910661,667
743.634993,668
679.199049,669
692.812922,670
647.817304,671
657.967152,672
706.244926,673
685.793214,674
678.521300,675
601.115669,676
689.377725,677
639.094466,678
627.545528,679
656.102274,680
655.357966,681
646.287589,682
686.270987,683
660.621929,684
663.915226,685
681.436475,686
692.914182,687
717.019066,688
648.102537,689
638.154548,690
722.946465,691
684.170222,692
620.694523,693
686.402028,694
631.194861,695
675.102705,696
649.295247,697
641.611562,698
688.284123,699
696.794386,700
643.290165,701
642.685803,702
697.997158,703
695.640445,704
681.229797,705
662.739872,706
680.073922,707
707.733174,708
633.892275,709
628.690944,710
645.988415,711
684.610393,712
656.941858,713
723.033464,714
638.647125,715
700.888519,716
665.671087,717
649.088227,718
702.282584,719
666.095328,720
732.455217,721
661.947098,722
648.275874,723
661.298725,724
711.126465,725
691.433805,726
673.616946,727
685.882061,728
680.927595,729
644.452011,730
666.955866,731
652.314085,732
611.702381,733
664.177714,734
638.496132,735
625.582766,736
677.366742,737
702.732476,738
707.756209,739
646.043401,740
643.865730,741
690.312691,742
703.042591,743
688.853350,744
644.746661,745
715.190526,746
647.744481,747
672.741264,748
