grt,period
671.873348,513
660.436005,514
665.091494,515
672.218649,516
679.419808,517
645.331833,518
665.982106,519
687.645724,520
673.106907,521
695.791661,522
644.144291,523
697.303582,524
705.298753,525
673.181680,526
682.158128,527
675.373244,528
676.672625,529
673.484359,530
681.101566,531
720.772541,532
709.654095,533
656.824686,534
725.266857,535
640.466584,536
647.781482,537
663.223570,538
655.623873,539
687.955370,540
670.277608,541
682.345364,542
658.775983,543
701.479026,544
678.876546,545
666.601874,546
648.115051,547
663.628680,548
672.840340,549
665.148224,550
693.744047,551
669.270949,552
678.042374,553
700.270049,554
693.912255,555
666.255927,556
651.507006,557
701.423021,558
707.722812,559
652.484780,560
675.390749,561
667.715644,562
683.746457,563
677.646423,564
697.386762,565
702.314241,566
672.393673,567
666.620042,568
662.346870,569
662.387786,570
657.954247,571
664.545908,572
719.890239,573
651.904186,574
655.885549,575
669.523573,576
672.849819,577
685.572194,578
688.606899,579
675.160381,580
678.731446,581
696.576342,582
662.565603,583
717.307251,584
630.551278,585
666.385228,586
679.411445,587
662.708767,588
657.418681,589
741.322140,590
670.514476,591
682.966256,592
672.868098,593
698.331459,594
671.443318,595
656.227170,596
651.650629,597
685.780529,598
691.055569,599
665.824418,600
662.036627,601
673.330834,602
671.331228,603
641.486170,604
707.736795,605
684.660593,606
659.119618,607
690.279278,608
709.808158,609
696.511922,610
690.282809,611
663.701111,612
686.265006,613
680.285400,614
669.090146,615
703.908968,616
677.259657,617
673.389409,618
677.613025,619
683.055265,620
685.520933,621
664.990834,622
693.303720,623
650.155924,624
658.870034,625
649.765782,626
655.373253,627
653.670819,628
724.585719,629
684.015748,630
690.858968,631
687.095213,632
688.693470,633
694.370819,634
698.154406,635
667.210691,636
679.538932,637
674.804055,638
657.558444,639
657.966488,640
688.345349,641
683.948252,642
671.170528,643
644.595028,644
658.548047,645
682.067725,646
726.138392,647
771.161916,648
680.017358,649
671.118775,650
666.561418,651
668.128228,652
675.798242,653
701.974050,654
664.237906,655
663.298559,656
699.455505,657
663.831809,658
681.474218,659
640.988221,660
657.703553,661
678.462888,662
676.369537,663
688.327008,664
677.134453,665
678.291469,666
662.779671,667
644.054736,668
670.407748,669
678.258705,670
654.930750,671
699.355726,672
669.219853,673
659.893019,674
682.133882,675
693.745354,676
660.487221,677
673.241735,678
658.781215,679
644.455961,680
639.583809,681
670.681332,682
653.858953,683
689.181078,684
675.669898,685
689.104126,686
660.187514,687
673.277632,688
666.195669,689
655.984268,690
658.429965,691
674.331965,692
681.450839,693
684.108650,694
678.986556,695
668.829873,696
676.365889,697
674.451813,698
668.432185,699
665.941922,700
656.280869,701
661.945656,702
695.710965,703
723.499441,704
676.805514,705
659.258638,706
634.869907,707
673.615908,708
677.048649,709
670.084218,710
648.938060,711
694.945053,712
672.339170,713
668.057186,714
657.353786,715
697.755705,716
658.517423,717
670.986364,718
664.848623,719
678.715512,720
665.955804,721
645.061532,722
654.935586,723
684.028385,724
667.373800,725
683.355707,726
659.528244,727
665.492919,728
677.204988,729
691.399384,730
680.419286,731
684.664044,732
692.902964,733
673.111782,734
646.902020,735
679.374896,736
660.861494,737
669.813160,738
653.657298,739
691.971826,740
679.027857,741
737.312426,742
672.932181,743
687.416845,744
717.611147,745
704.398620,746
674.069916,747
684.633182,748
685.375043,749
681.357161,750
643.924569,751
659.052509,752
670.559015,753
671.949704,754
690.477494,755
649.128129,756
676.301208,757
655.062605,758
650.076540,759
680.101306,760
675.421816,761
660.141964,762
683.777938,763
654.080089,764
655.148574,765
664.502981,766
647.250218,767
644.976834,768
683.254560,769
675.471208,770
658.476426,771
684.978517,772
660.373363,773
667.740391,774
662.216352,775
668.989790,776
706.229970,777
655.798344,778
676.749698,779
669.334198,780
658.662050,781
668.645611,782
666.809954,783
692.392212,784
649.423619,785
653.150491,786
694.320285,787
672.414754,788
705.229056,789
687.234766,790
666.630120,791
654.697697,792
683.636531,793
666.491287,794
671.995856,795
690.723880,796
700.657299,797
688.054677,798
644.982129,799
663.829781,800
654.483454,801
670.383478,802
654.320212,803
683.563356,804
678.265271,805
656.183895,806
676.623055,807
675.387844,808
670.210116,809
659.387525,810
681.336955,811
668.878080,812
764.002725,813
682.430869,814
658.762117,815
657.833335,816
669.717787,817
710.364824,818
693.006175,819
654.852793,820
689.431309,821
678.267024,822
672.770655,823
657.606371,824
670.157223,825
650.291047,826
658.081920,827
657.588721,828
689.270357,829
657.223223,830
679.788381,831
669.761244,832
667.222528,833
694.915636,834
698.089052,835
667.994461,836
686.975935,837
679.395693,838
661.383464,839
673.238066,840
683.534225,841
700.962518,842
646.929287,843
643.554230,844
648.392675,845
683.383556,846
642.961509,847
655.439946,848
668.130710,849
679.453165,850
639.064329,851
678.505233,852
651.018355,853
668.532620,854
657.202263,855
675.395191,856
659.088505,857
679.135932,858
716.758662,859
672.167121,860
659.851854,861
683.947364,862
693.953202,863
683.141733,864
661.617299,865
699.751253,866
703.044892,867
664.712277,868
678.091938,869
684.180743,870
686.459122,871
699.155929,872
660.892545,873
655.775347,874
686.651501,875
665.995885,876
659.193888,877
661.853865,878
662.684919,879
692.724149,880
661.957779,881
649.096741,882
671.899575,883
672.545468,884
674.465937,885
676.116277,886
686.724594,887
667.658032,888
665.094023,889
668.779036,890
675.348454,891
681.929084,892
686.861067,893
677.591994,894
686.124015,895
663.568323,896
675.568309,897
668.466486,898
678.236598,899
653.063189,900
668.115795,901
667.132995,902
654.800627,903
680.318320,904
660.937257,905
694.952687,906
650.827853,907
638.510559,908
649.998859,909
674.950743,910
660.935115,911
661.719749,912
654.002965,913
692.493801,914
675.783162,915
697.151395,916
723.772455,917
657.474116,918
668.742195,919
656.564670,920
671.483702,921
665.710088,922
662.380065,923
682.908293,924
686.640732,925
709.214451,926
694.957454,927
667.905554,928
668.953874,929
672.516161,930
640.736809,931
671.670601,932
672.495895,933
732.267110,934
682.670751,935
661.859125,936
688.981638,937
669.105665,938
680.154798,939
737.558322,940
660.243132,941
685.651567,942
665.259149,943
699.202156,944
673.834993,945
673.320205,946
659.871562,947
648.999097,948
668.273531,949
674.889501,950
703.213521,951
679.414035,952
665.796231,953
701.289974,954
684.240971,955
688.053916,956
691.149375,957
672.146797,958
677.752386,959
660.706128,960
692.671889,961
679.351164,962
685.916968,963
669.924970,964
679.045161,965
667.510617,966
699.283523,967
662.700792,968
681.442016,969
693.236792,970
681.171835,971
672.105656,972
653.988892,973
667.941529,974
662.822875,975
661.916770,976
690.335865,977
677.063553,978
655.007945,979
683.151150,980
693.236168,981
679.710466,982
644.748140,983
708.619716,984
684.305684,985
678.917262,986
682.529520,987
676.817338,988
676.120852,989
680.018776,990
661.246903,991
657.922496,992
680.892755,993
667.655632,994
688.876744,995
643.742152,996
673.703639,997
683.969961,998
685.768740,999
658.541281,1000
656.484877,1001
662.262391,1002
620.930907,1003
674.470002,1004
681.839122,1005
662.173224,1006
657.797862,1007
666.864274,1008
678.687359,1009
658.489379,1010
687.568351,1011
660.959592,1012
673.489386,1013
659.442084,1014
662.139554,1015
693.699420,1016
671.406598,1017
685.053921,1018
629.323705,1019
661.964149,1020
669.790561,1021
686.009724,1022
667.662297,1023
674.784394,1024
676.141076,1025
685.065378,1026
688.650227,1027
664.137016,1028
660.621800,1029
673.557084,1030
654.844875,1031
672.726025,1032
651.458834,1033
664.866896,1034
727.921258,1035
672.566329,1036
679.623424,1037
680.087092,1038
662.776011,1039
651.467294,1040
681.803024,1041
679.805338,1042
692.624342,1043
661.767926,1044
651.006832,1045
669.519510,1046
703.000497,1047
662.847236,1048
668.729091,1049
665.115761,1050
660.901654,1051
680.585495,1052
665.025976,1053
667.080320,1054
674.799110,1055
663.966173,1056
655.330153,1057
649.685997,1058
696.882806,1059
