ploss,batch
0.036236,520
0.023104,521
0.030394,522
0.035732,523
0.043108,524
0.031920,525
0.036871,526
0.074262,527
0.069527,528
0.038713,529
0.069189,530
0.038710,531
0.028630,532
0.050441,533
0.067278,534
0.051767,535
0.044776,536
0.027820,537
0.066334,538
0.030892,539
0.040159,540
0.034831,541
0.051333,542
0.032226,543
0.038736,544
0.065142,545
0.088072,546
0.057328,547
0.054027,548
0.028372,549
0.065803,550
0.047907,551
0.042757,552
0.048044,553
0.041414,554
0.064325,555
0.028212,556
0.055913,557
0.051716,558
0.056146,559
0.046162,560
0.024378,561
0.032885,562
0.050025,563
0.017216,564
0.083923,565
0.051837,566
0.054645,567
0.057114,568
0.084938,569
0.054232,570
0.071429,571
0.041791,572
0.037981,573
0.048169,574
0.058736,575
0.053651,576
0.046344,577
0.039235,578
0.046208,579
0.057172,580
0.061938,581
0.045094,582
0.057229,583
0.049377,584
0.043611,585
0.089330,586
0.027875,587
0.051205,588
0.034209,589
0.031658,590
0.046223,591
0.041583,592
0.068320,593
0.051562,594
0.046069,595
0.049278,596
0.052764,597
0.050645,598
0.031109,599
0.076082,600
0.071285,601
0.038903,602
0.049271,603
0.064243,604
0.047141,605
0.055919,606
0.060470,607
0.048379,608
0.050721,609
0.051051,610
0.070641,611
0.034154,612
0.041212,613
0.045890,614
0.076233,615
0.097222,616
0.047643,617
0.063659,618
0.055251,619
0.060440,620
0.036309,621
0.044213,622
0.043219,623
0.021074,624
0.043434,625
0.050199,626
0.030839,627
0.049705,628
0.050480,629
0.036041,630
0.090999,631
0.039742,632
0.045201,633
0.052032,634
0.040614,635
0.061492,636
0.071180,637
0.057200,638
0.059739,639
0.056032,640
0.058099,641
0.067588,642
0.061703,643
0.031636,644
0.034937,645
0.027958,646
0.053987,647
0.050551,648
0.043917,649
0.053481,650
0.031235,651
0.059241,652
0.039784,653
0.019881,654
0.035394,655
0.040100,656
0.069674,657
0.039520,658
0.046092,659
0.025513,660
0.042084,661
0.033780,662
0.023000,663
0.026500,664
0.049824,665
0.057855,666
0.065723,667
0.060396,668
0.059635,669
0.051988,670
0.047198,671
0.033702,672
0.051759,673
0.040663,674
0.045249,675
0.082711,676
0.024900,677
0.062035,678
0.068363,679
0.031834,680
0.059178,681
0.035661,682
0.059244,683
0.048443,684
0.060079,685
0.040424,686
0.051167,687
0.052291,688
0.039020,689
0.026131,690
0.043967,691
0.067936,692
0.054923,693
0.027694,694
0.057884,695
0.050754,696
0.060060,697
0.039467,698
0.029234,699
0.045139,700
0.040000,701
0.050797,702
0.063809,703
0.033433,704
0.049278,705
0.057663,706
0.037332,707
0.053234,708
0.031825,709
0.057692,710
0.052605,711
0.037981,712
0.065682,713
0.073746,714
0.056338,715
0.040927,716
0.039454,717
0.044687,718
0.026421,719
0.049699,720
0.037074,721
0.062211,722
0.049631,723
0.062406,724
0.072307,725
0.045977,726
0.034778,727
0.048719,728
0.050224,729
0.050545,730
0.074093,731
0.022739,732
0.050172,733
0.031313,734
0.051474,735
0.047331,736
0.035553,737
0.050965,738
0.041772,739
0.055583,740
0.060131,741
0.035000,742
0.052501,743
0.059030,744
0.024341,745
0.058300,746
0.044006,747
0.069617,748
0.066798,749
0.037955,750
0.048646,751
0.047976,752
0.032354,753
0.039722,754
0.077118,755
0.046899,756
0.023051,757
0.032565,758
0.044684,759
0.068848,760
0.045272,761
0.084797,762
0.055665,763
0.036702,764
0.045109,765
0.050197,766
0.040683,767
0.044709,768
0.045890,769
0.065566,770
0.043219,771
0.062066,772
0.042908,773
0.074899,774
0.057769,775
0.032242,776
0.014771,777
0.041284,778
0.068251,779
0.088702,780
0.049451,781
0.060169,782
0.029674,783
0.032653,784
0.057769,785
0.070010,786
0.048028,787
0.026812,788
0.055165,789
0.049180,790
0.024230,791
0.038974,792
0.048842,793
0.043194,794
0.072385,795
0.065962,796
0.047264,797
0.074055,798
0.033881,799
0.043738,800
0.049950,801
0.087445,802
